,ENSG00000001626.10_13
GTEX-111CU,100.0
GTEX-111FC,100.0
GTEX-111VG,0.0
GTEX-111YS,91.6435243625347
GTEX-1122O,100.0
GTEX-1128S,100.0
GTEX-117YX,100.0
GTEX-11DXX,100.0
GTEX-11DXZ,100.0
GTEX-11EMC,100.0
GTEX-11EQ9,100.0
GTEX-11GSP,0.0
GTEX-11I78,100.0
GTEX-11LCK,100.0
GTEX-11NSD,100.0
GTEX-11NUK,46.13506916192026
GTEX-11NV4,100.0
GTEX-11OF3,100.0
GTEX-11P7K,100.0
GTEX-11P81,100.0
GTEX-11TT1,100.0
GTEX-11TUW,0.0
GTEX-11UD2,100.0
GTEX-11WQC,0.0
GTEX-11WQK,100.0
GTEX-11ZTS,0.0
GTEX-11ZTT,87.54468485418626
GTEX-11ZUS,100.0
GTEX-1211K,100.0
GTEX-1212Z,100.0
GTEX-12584,100.0
GTEX-12696,100.0
GTEX-1269C,100.0
GTEX-12BJ1,69.61909132629647
GTEX-12KS4,0.0
GTEX-12WSA,74.05956112852664
GTEX-12WSD,100.0
GTEX-12WSE,31.185031185031182
GTEX-12WSH,100.0
GTEX-12WSI,100.0
GTEX-12WSJ,92.91978609625669
GTEX-12WSK,100.0
GTEX-12WSL,100.0
GTEX-12WSN,100.0
GTEX-12ZZW,100.0
GTEX-13111,89.87148102815178
GTEX-13113,100.0
GTEX-1313W,100.0
GTEX-131XE,0.0
GTEX-131XF,100.0
GTEX-131XH,100.0
GTEX-131YS,100.0
GTEX-132NY,100.0
GTEX-132QS,90.18677734954048
GTEX-1339X,100.0
GTEX-133LE,90.52797252825869
GTEX-1399S,90.64046373533155
GTEX-1399U,95.37741777808813
GTEX-139T6,40.62780269058295
GTEX-139TT,100.0
GTEX-139UW,100.0
GTEX-139YR,100.0
GTEX-13CF3,100.0
GTEX-13D11,100.0
GTEX-13FH7,100.0
GTEX-13FHO,100.0
GTEX-13FLV,100.0
GTEX-13FTX,100.0
GTEX-13FTY,18.472906403940883
GTEX-13FTZ,100.0
GTEX-13G51,100.0
GTEX-13JUV,0.0
GTEX-13JVG,0.0
GTEX-13N11,100.0
GTEX-13N1W,80.8891454965358
GTEX-13N2G,95.07293837451624
GTEX-13NYB,0.0
GTEX-13NYS,0.0
GTEX-13NZA,0.0
GTEX-13O21,86.34206725809779
GTEX-13O3O,100.0
GTEX-13O3P,0.0
GTEX-13O61,100.0
GTEX-13OVG,85.67719601903937
GTEX-13OVH,100.0
GTEX-13OVJ,0.0
GTEX-13OW6,88.20700097978089
GTEX-13OW8,100.0
GTEX-13PL7,92.08701888596701
GTEX-13QBU,91.29748915472591
GTEX-13QJ3,0.0
GTEX-13QJC,100.0
GTEX-13RTJ,52.40833932422717
GTEX-13S86,100.0
GTEX-13U4I,100.0
GTEX-13VXT,96.05999285799311
GTEX-13VXU,100.0
GTEX-13YAN,100.0
GTEX-144GM,100.0
GTEX-144GN,92.02697820065036
GTEX-144GO,100.0
GTEX-145LS,97.75600827090607
GTEX-145LT,100.0
GTEX-145MF,95.18054746651137
GTEX-145MH,100.0
GTEX-145MN,100.0
GTEX-145MO,100.0
GTEX-146FQ,100.0
GTEX-147F3,93.25934222584257
GTEX-147JS,0.0
GTEX-148VI,100.0
GTEX-148VJ,100.0
GTEX-1497J,62.6410835214447
GTEX-14A6H,100.0
GTEX-14ABY,0.0
GTEX-14E7W,100.0
GTEX-NFK9,100.0
GTEX-NL3G,100.0
GTEX-O5YT,100.0
GTEX-O5YV,0.0
GTEX-O5YW,88.63519313304721
GTEX-OHPJ,100.0
GTEX-OHPK,100.0
GTEX-OHPL,100.0
GTEX-OHPM,85.55846422338568
GTEX-OIZG,100.0
GTEX-OIZH,88.67601778994184
GTEX-OIZI,100.0
GTEX-OOBJ,100.0
GTEX-OOBK,100.0
GTEX-OXRK,91.31803278688524
GTEX-OXRL,100.0
GTEX-OXRN,0.0
GTEX-OXRO,0.0
GTEX-OXRP,100.0
GTEX-P44H,100.0
GTEX-P4PP,94.97189731125627
GTEX-P4PQ,100.0
GTEX-P4QR,100.0
GTEX-P4QS,81.80318856514567
GTEX-P4QT,85.42171327901343
GTEX-P78B,100.0
GTEX-PLZ5,100.0
GTEX-PLZ6,100.0
GTEX-POMQ,100.0
GTEX-PSDG,0.0
GTEX-PVOW,0.0
GTEX-PW2O,95.43479760016551
GTEX-PWOO,100.0
GTEX-PX3G,85.24626699353688
GTEX-Q2AG,100.0
GTEX-Q2AH,100.0
GTEX-Q2AI,100.0
GTEX-Q734,100.0
GTEX-QCQG,100.0
GTEX-QDT8,100.0
GTEX-QDVJ,100.0
GTEX-QDVN,100.0
GTEX-QEG4,100.0
GTEX-QEG5,100.0
GTEX-QESD,88.03109745073223
GTEX-QMRM,100.0
GTEX-QV44,100.0
GTEX-QXCU,100.0
GTEX-R55C,85.20670391061452
GTEX-R55D,100.0
GTEX-R55G,100.0
GTEX-RM2N,94.72173497049913
GTEX-RNOR,100.0
GTEX-RTLS,0.0
GTEX-RU1J,100.0
GTEX-RU72,100.0
GTEX-RUSQ,100.0
GTEX-RWS6,100.0
GTEX-RWSA,68.0038666022233
GTEX-S32W,100.0
GTEX-S33H,100.0
GTEX-S341,100.0
GTEX-S4Q7,81.7354117809353
GTEX-S4Z8,100.0
GTEX-S7SE,100.0
GTEX-S7SF,100.0
GTEX-SE5C,0.0
GTEX-SIU7,71.80579216354343
GTEX-SNOS,100.0
GTEX-SUCS,24.729960204661737
GTEX-T2IS,0.0
GTEX-T5JC,100.0
GTEX-T6MN,0.0
GTEX-T6MO,100.0
GTEX-T8EM,79.89369779802581
GTEX-TML8,95.25923804067602
GTEX-TMMY,89.11542255836896
GTEX-U3ZH,100.0
GTEX-U3ZM,88.11169973960672
GTEX-U3ZN,100.0
GTEX-U8XE,87.10269969384913
GTEX-UJHI,100.0
GTEX-UJMC,100.0
GTEX-UPIC,100.0
GTEX-UPJH,100.0
GTEX-UPK5,100.0
GTEX-V1D1,100.0
GTEX-VJYA,0.0
GTEX-VUSG,100.0
GTEX-W5X1,100.0
GTEX-WFG7,100.0
GTEX-WFG8,100.0
GTEX-WFJO,93.54146341463414
GTEX-WFON,87.13813872158539
GTEX-WH7G,95.00377358490567
GTEX-WHPG,88.24573863636364
GTEX-WHSB,100.0
GTEX-WK11,100.0
GTEX-WOFM,100.0
GTEX-WRHU,91.7651449185222
GTEX-WWYW,100.0
GTEX-WY7C,100.0
GTEX-WYBS,100.0
GTEX-WYJK,83.95346018664404
GTEX-WYVS,100.0
GTEX-WZTO,100.0
GTEX-X3Y1,100.0
GTEX-X4EO,0.0
GTEX-X4LF,69.44380336948996
GTEX-X4XX,100.0
GTEX-X4XY,0.0
GTEX-X5EB,100.0
GTEX-XBEC,60.571768910065515
GTEX-XBED,100.0
GTEX-XBEW,100.0
GTEX-XGQ4,52.367247085911636
GTEX-XOT4,100.0
GTEX-XPVG,83.80031812064112
GTEX-XQ3S,84.94941457314994
GTEX-XQ8I,100.0
GTEX-XUJ4,100.0
GTEX-XV7Q,100.0
GTEX-XXEK,100.0
GTEX-XYKS,100.0
GTEX-Y111,0.0
GTEX-Y3I4,100.0
GTEX-Y3IK,100.0
GTEX-Y5LM,100.0
GTEX-Y5V5,100.0
GTEX-Y5V6,100.0
GTEX-Y8E4,100.0
GTEX-Y8LW,90.12971522290145
GTEX-Y9LG,83.63816114681167
GTEX-YB5E,100.0
GTEX-YEC3,100.0
GTEX-YEC4,100.0
GTEX-YECK,100.0
GTEX-YF7O,100.0
GTEX-YFCO,100.0
GTEX-ZA64,85.65857885615252
GTEX-ZAB4,100.0
GTEX-ZAB5,100.0
GTEX-ZC5H,70.81772096098744
GTEX-ZDTS,100.0
GTEX-ZDTT,100.0
GTEX-ZDYS,100.0
GTEX-ZE7O,100.0
GTEX-ZEX8,84.38495105554901
GTEX-ZF29,86.65591614593832
GTEX-ZF2S,100.0
GTEX-ZG7Y,81.78817056396149
GTEX-ZLV1,85.91489361702128
GTEX-ZLWG,100.0
GTEX-ZPIC,86.3081695966908
GTEX-ZPU1,100.0
GTEX-ZQG8,74.53846153846153
GTEX-ZT9W,100.0
GTEX-ZT9X,100.0
GTEX-ZTPG,92.76897870016384
GTEX-ZTTD,0.0
GTEX-ZUA1,77.54409769335142
GTEX-ZVT3,100.0
GTEX-ZVZQ,0.0
GTEX-ZXG5,0.0
GTEX-ZY6K,100.0
GTEX-ZYFG,83.91251518833536
GTEX-ZYT6,64.44683136412459
GTEX-ZYVF,0.0
GTEX-ZYWO,100.0
GTEX-ZYY3,60.0
GTEX-ZZPU,100.0
