,ENSG00000168484.8_3
GTEX-111CU,99.49915746457913
GTEX-111YS,97.4841323454634
GTEX-1122O,98.38329399160428
GTEX-1128S,99.54860862151564
GTEX-117YW,98.56681757064287
GTEX-117YX,98.53225605548607
GTEX-11DXX,98.09518502374002
GTEX-11DXZ,97.01860975333602
GTEX-11DZ1,98.54864304788691
GTEX-11EI6,98.92370295993875
GTEX-11EMC,99.37477047575639
GTEX-11EQ9,99.09091518200466
GTEX-11GSP,99.21291274107801
GTEX-11I78,99.0049297275097
GTEX-11LCK,99.38128226161822
GTEX-11NSD,98.92379088040968
GTEX-11NUK,98.82028454858546
GTEX-11NV4,98.84337898786279
GTEX-11P7K,99.07756805905954
GTEX-11P81,98.33165793952483
GTEX-11PRG,98.26288278191426
GTEX-11TT1,99.68719759554048
GTEX-11TUW,97.5898759626762
GTEX-11WQK,99.93524630930378
GTEX-11ZTS,98.4591883384137
GTEX-11ZTT,98.09426609466547
GTEX-11ZUS,98.18587651190451
GTEX-1211K,99.47381180036572
GTEX-12584,99.10098559977148
GTEX-12696,92.50617708285695
GTEX-12BJ1,98.74547551124893
GTEX-12KS4,98.66086242226119
GTEX-12WSA,99.2455952126879
GTEX-12WSD,95.33458404772101
GTEX-12WSG,96.57605379334674
GTEX-12WSI,98.9327994266301
GTEX-12WSJ,99.47765915909348
GTEX-12WSK,97.71224809099023
GTEX-12WSL,99.34517421901472
GTEX-12WSN,98.82920071154491
GTEX-12ZZW,98.78522988457745
GTEX-13111,99.4265080729722
GTEX-13113,98.81787658383037
GTEX-1313W,98.84579121098494
GTEX-131XE,98.0714439418881
GTEX-131XF,99.144804609044
GTEX-131XH,98.9605124388756
GTEX-131XW,99.11678409165573
GTEX-131YS,98.85298126321092
GTEX-132NY,99.50823394363731
GTEX-132QS,99.30604961163621
GTEX-1339X,99.62021658106363
GTEX-133LE,98.1530161030104
GTEX-1399S,98.19533843328597
GTEX-1399U,98.23665310476233
GTEX-139UW,95.96616218793783
GTEX-139YR,99.75714578593666
GTEX-13CF3,99.8721828604882
GTEX-13D11,99.6725754257319
GTEX-13FH7,99.90260641181553
GTEX-13FHO,98.71120418018833
GTEX-13FLV,99.16922334980904
GTEX-13FTX,99.11443620778604
GTEX-13FTY,99.05290828372596
GTEX-13G51,99.47727695781164
GTEX-13JUV,99.3966032177081
GTEX-13N11,98.16067160679246
GTEX-13N1W,99.33089740891586
GTEX-13N2G,99.71627868972865
GTEX-13NYB,99.34987587855848
GTEX-13NYS,99.21034421752516
GTEX-13NZ8,99.93220433061929
GTEX-13NZA,97.79657735015056
GTEX-13O21,98.56037159929673
GTEX-13O61,98.53656986362695
GTEX-13OVG,98.7183529880203
GTEX-13OVH,99.68592511038793
GTEX-13OVJ,98.7576881046859
GTEX-13OW5,99.11511758080826
GTEX-13OW6,99.27261218285439
GTEX-13OW8,99.51405175795477
GTEX-13PL7,99.10952270085538
GTEX-13PVQ,96.84445632696648
GTEX-13QBU,99.34903328003392
GTEX-13QJC,99.23821738982066
GTEX-13RTJ,99.53145044900577
GTEX-13S86,99.82592802618208
GTEX-13U4I,99.66130976887669
GTEX-13VXT,98.87828511481545
GTEX-13VXU,99.16564029744751
GTEX-13YAN,97.70390422885443
GTEX-144GM,99.70958653691588
GTEX-144GN,99.75867906424277
GTEX-144GO,99.2761853946723
GTEX-145LS,99.35206296129292
GTEX-145LT,99.27956623750299
GTEX-145MF,99.68231350403511
GTEX-145MH,99.12269064439832
GTEX-145MN,98.656506340756
GTEX-145MO,98.99720628854533
GTEX-146FQ,97.68224028838452
GTEX-147F3,98.20539064120258
GTEX-147F4,97.01206406260363
GTEX-147JS,99.13677707755524
GTEX-148VI,97.25918631884257
GTEX-148VJ,95.52983121880291
GTEX-1497J,98.62375027334376
GTEX-14A6H,98.68337278429502
GTEX-14ABY,96.23855680492522
GTEX-14E7W,99.16290185339464
GTEX-N7MT,98.67362605681922
GTEX-NFK9,97.80872338367317
GTEX-NL3G,95.81038792960837
GTEX-NPJ8,99.6364745797456
GTEX-O5YT,98.06976970713063
GTEX-O5YV,99.25050342044996
GTEX-O5YW,99.40757713016765
GTEX-OHPJ,99.17943792348439
GTEX-OHPK,96.62267903801781
GTEX-OHPL,99.08811595950628
GTEX-OHPM,99.49865180328328
GTEX-OIZG,99.40439187423907
GTEX-OIZH,99.55564008367213
GTEX-OIZI,97.20727067094124
GTEX-OOBJ,98.80261987666655
GTEX-OOBK,99.55686068391897
GTEX-OXRK,99.69275894218028
GTEX-OXRL,98.74913125630749
GTEX-OXRN,99.79020255702305
GTEX-P44H,95.629562621852
GTEX-P4PP,98.7745116986453
GTEX-P4PQ,99.59108552114164
GTEX-P4QR,99.87297946425343
GTEX-P4QS,99.32165466218109
GTEX-P4QT,98.69774180604321
GTEX-P78B,99.46889230390275
GTEX-PLZ5,99.63655424732448
GTEX-PLZ6,99.14223634832825
GTEX-POMQ,99.53859178071029
GTEX-PSDG,99.1575834450096
GTEX-PVOW,98.39509325922957
GTEX-PW2O,99.67427319236798
GTEX-PWOO,99.89176624895433
GTEX-PX3G,99.21150941437575
GTEX-Q2AG,99.86378523897244
GTEX-Q2AH,99.14150907766671
GTEX-Q2AI,99.9075227126171
GTEX-Q734,99.65134259449073
GTEX-QCQG,99.567020304349
GTEX-QDT8,98.27138741398605
GTEX-QDVJ,99.64317264895116
GTEX-QDVN,99.26424406798017
GTEX-QEG4,98.71560620480342
GTEX-QEG5,99.40581078715375
GTEX-QESD,99.54589357736782
GTEX-QMR6,97.17649255037394
GTEX-QMRM,99.39913540266228
GTEX-QV44,99.32854690243241
GTEX-QXCU,98.78893164442877
GTEX-R3RS,99.03260881152129
GTEX-R55C,98.2994752175073
GTEX-R55D,99.14250935464027
GTEX-R55G,98.20248211063259
GTEX-RM2N,99.3200016556324
GTEX-RNOR,99.46042411864856
GTEX-RU1J,98.85297658837203
GTEX-RU72,97.93805393105043
GTEX-RUSQ,99.72092676868168
GTEX-RWS6,99.12667206078768
GTEX-RWSA,99.15720934998994
GTEX-S32W,99.79241885558301
GTEX-S33H,98.84047769905345
GTEX-S341,98.89037522660047
GTEX-S4Q7,99.84707442522857
GTEX-S4Z8,99.01138910452254
GTEX-S7SE,97.91042209121976
GTEX-S7SF,99.48985509038718
GTEX-SE5C,98.28825739166349
GTEX-SIU7,99.92492137819022
GTEX-SIU8,99.04250367089718
GTEX-SN8G,99.2185291226777
GTEX-SNOS,99.72342340507866
GTEX-SUCS,99.49660162258776
GTEX-T2IS,98.98897737200708
GTEX-T5JC,97.7017715998615
GTEX-T6MN,97.93376916495873
GTEX-T6MO,98.57259618671995
GTEX-T8EM,97.69351224230245
GTEX-TML8,99.21884960802961
GTEX-TMMY,98.7388381021098
GTEX-U3ZH,99.43562550882105
GTEX-U3ZM,98.63241328324628
GTEX-U3ZN,98.74206506046082
GTEX-U412,97.52779457086727
GTEX-U8T8,91.76257722516313
GTEX-U8XE,99.28894420972013
GTEX-UJHI,98.70616115041919
GTEX-UJMC,98.6019612616112
GTEX-UPIC,98.57290967678087
GTEX-UPJH,99.46328514768832
GTEX-UPK5,99.23921785985648
GTEX-V1D1,96.49842504265834
GTEX-VJYA,99.2519809080996
GTEX-VUSG,98.75416893967467
GTEX-W5X1,98.83319780596324
GTEX-WFG7,99.18853576680098
GTEX-WFG8,99.14827464719562
GTEX-WFJO,99.2413090345843
GTEX-WFON,98.42167678259048
GTEX-WH7G,98.46613643725769
GTEX-WHPG,98.95958918647345
GTEX-WHSB,98.63645568612847
GTEX-WK11,98.13809900863203
GTEX-WOFM,99.20452012517627
GTEX-WRHU,99.27881201961175
GTEX-WVJS,99.47401185301973
GTEX-WWYW,98.31254508652277
GTEX-WY7C,99.09513647725515
GTEX-WYBS,98.87042957795616
GTEX-WYJK,98.67073826765949
GTEX-WYVS,98.83347611260722
GTEX-WZTO,99.38062091208931
GTEX-X3Y1,98.65881376513028
GTEX-X4EO,97.22549064749586
GTEX-X4EP,99.09818889092027
GTEX-X4LF,98.29985965898035
GTEX-X4XX,98.26957745973
GTEX-X585,97.91267045351887
GTEX-X5EB,98.1627396756755
GTEX-XBEC,98.06877739223802
GTEX-XBED,98.70775931137746
GTEX-XBEW,98.9328683811498
GTEX-XGQ4,99.18963099934675
GTEX-XMD2,98.6606303576815
GTEX-XOT4,99.36099836348248
GTEX-XPVG,98.54414402035118
GTEX-XQ3S,99.19356012559322
GTEX-XQ8I,99.58867727291634
GTEX-XUJ4,98.82208543280665
GTEX-XV7Q,99.8189494105625
GTEX-XXEK,99.44475964725314
GTEX-XYKS,99.40050281381423
GTEX-Y111,98.2532938679407
GTEX-Y3I4,98.62311101496822
GTEX-Y3IK,99.71548799408953
GTEX-Y5LM,96.92039038198116
GTEX-Y5V5,99.44733348261343
GTEX-Y5V6,98.84844293854708
GTEX-Y8E4,99.14670444708351
GTEX-Y8LW,98.98239404686304
GTEX-Y9LG,99.37055574399179
GTEX-YB5E,98.66093948322566
GTEX-YEC3,99.03270008777368
GTEX-YEC4,98.83211478604575
GTEX-YECK,99.59773182808942
GTEX-YF7O,98.73947859069145
GTEX-YFCO,99.3790477890769
GTEX-YJ8O,95.61154343994191
GTEX-ZA64,97.37181730394661
GTEX-ZAB4,97.73277465035467
GTEX-ZAB5,99.65022010328795
GTEX-ZC5H,99.72940275399932
GTEX-ZDTS,98.70419986790289
GTEX-ZDTT,99.33854547640023
GTEX-ZDXO,98.29588611340112
GTEX-ZDYS,98.87708867101541
GTEX-ZEX8,98.74380003139746
GTEX-ZF28,99.15041127720198
GTEX-ZF29,98.7331229899801
GTEX-ZF2S,99.61916186728111
GTEX-ZG7Y,99.73381277657046
GTEX-ZLV1,99.0229233612517
GTEX-ZLWG,98.85445166337118
GTEX-ZPIC,99.01596935188444
GTEX-ZPU1,97.8147992531301
GTEX-ZQG8,99.41080794958307
GTEX-ZT9W,98.01925021056708
GTEX-ZT9X,99.07756623059402
GTEX-ZTPG,99.20534788577659
GTEX-ZTTD,98.68567046657925
GTEX-ZUA1,98.30935418494221
GTEX-ZVT3,99.4018471093905
GTEX-ZY6K,98.18228809428747
GTEX-ZYFG,98.87571670714134
GTEX-ZYT6,99.36011302907045
GTEX-ZYWO,99.40901524838763
GTEX-ZYY3,99.7767864690382
GTEX-ZZPU,98.87823385182092
