,ENSG00000164867.6_15
GTEX-111CU,16.597454551926585
GTEX-111FC,18.317074652818356
GTEX-111VG,42.85826098867053
GTEX-111YS,11.972789103407866
GTEX-1122O,21.21373909948389
GTEX-1128S,18.760290556900728
GTEX-117YW,58.404160360150584
GTEX-11DXX,11.013921399531847
GTEX-11DXZ,17.405840886203425
GTEX-11DZ1,30.764172592082783
GTEX-11EI6,60.29818956336528
GTEX-11EMC,24.920900038412523
GTEX-11EQ9,15.891377471490687
GTEX-11GSP,26.8580397542642
GTEX-11ILO,20.499697319905344
GTEX-11LCK,20.687956286110985
GTEX-11NSD,14.153305892173512
GTEX-11NUK,30.922027868366442
GTEX-11NV4,37.262409061626336
GTEX-11O72,20.078402548082817
GTEX-11OF3,24.921451773310658
GTEX-11P7K,14.165181224004753
GTEX-11P81,22.96039516949322
GTEX-11PRG,26.567539467892143
GTEX-11TT1,18.385543127811165
GTEX-11TUW,22.98535686684182
GTEX-11UD2,16.513347363895008
GTEX-11WQC,17.526574218960775
GTEX-11WQK,35.246728755521
GTEX-11ZTS,23.98623887286961
GTEX-11ZUS,38.39526686910062
GTEX-1211K,14.256274379921985
GTEX-1212Z,35.984756165112
GTEX-12584,39.25205724993889
GTEX-12696,14.035638590156212
GTEX-1269C,42.44565366809983
GTEX-12BJ1,15.084025106296822
GTEX-12KS4,36.08318706237214
GTEX-12WSA,16.6554884864744
GTEX-12WSD,37.0521597642219
GTEX-12WSE,21.03925444789607
GTEX-12WSG,11.087367155749748
GTEX-12WSH,49.41807875535187
GTEX-12WSI,34.155238347801706
GTEX-12WSJ,9.816355101704685
GTEX-12WSL,14.586240653183644
GTEX-12WSN,21.607981901502406
GTEX-12ZZW,14.467320459380236
GTEX-12ZZY,11.720913147489513
GTEX-13111,10.706586826347307
GTEX-13113,9.4134227535598
GTEX-1313W,39.00523560209424
GTEX-131XE,17.57075471698113
GTEX-131XF,27.72952853598015
GTEX-131XH,30.2618920363442
GTEX-131XW,23.298493951115134
GTEX-131YS,19.11553844992831
GTEX-132NY,26.380301255686
GTEX-132QS,8.428856402774883
GTEX-133LE,12.68949071708397
GTEX-1399U,24.227642276422763
GTEX-139T6,17.350653928587466
GTEX-139TT,42.61893462283391
GTEX-139UW,34.764349043397104
GTEX-139YR,12.51420384368361
GTEX-13CF3,23.33747221103742
GTEX-13FH7,15.914504604423144
GTEX-13FHO,21.63876786669724
GTEX-13FLV,28.634916821812507
GTEX-13FTX,8.020814642024042
GTEX-13FTY,51.86274729963397
GTEX-13FTZ,30.86937616696933
GTEX-13G51,32.96026766854725
GTEX-13JUV,13.034350032075581
GTEX-13JVG,32.64954077113152
GTEX-13N11,23.660854653881824
GTEX-13N1W,31.145674441243067
GTEX-13N2G,25.86057275094012
GTEX-13NYB,30.552935922136577
GTEX-13NYS,6.477651212408608
GTEX-13NZ8,13.239961071383236
GTEX-13NZ9,28.92401552967277
GTEX-13NZA,17.984815208466916
GTEX-13O21,36.11902515256266
GTEX-13O3O,23.19384671733358
GTEX-13O3P,19.53908616466381
GTEX-13O3Q,45.39489102413874
GTEX-13O61,15.13326095331489
GTEX-13OVH,31.168420393176337
GTEX-13OVJ,16.49229405464558
GTEX-13OVL,50.1557240381288
GTEX-13OW5,5.131108348221869
GTEX-13OW6,18.7107921358031
GTEX-13PVQ,29.354351740191532
GTEX-13QBU,19.74032856385797
GTEX-13QJ3,17.6895543704399
GTEX-13RTJ,26.14478972094866
GTEX-13S86,6.081942956273279
GTEX-13U4I,19.07393992319219
GTEX-13VXT,11.756351585923941
GTEX-13VXU,33.74749968805182
GTEX-13YAN,30.069857697283314
GTEX-144GM,22.178253766563806
GTEX-144GN,7.401887729756582
GTEX-144GO,35.735699724187555
GTEX-145LS,42.38549993869703
GTEX-145LT,10.718535573233163
GTEX-145MF,33.216560509554135
GTEX-145MH,18.592463189418517
GTEX-145MN,25.134548959755804
GTEX-145MO,31.30136733866509
GTEX-146FH,9.883858201319946
GTEX-146FQ,24.227642276422767
GTEX-1477Z,13.263737153030672
GTEX-147F4,22.688329607092257
GTEX-147JS,18.297158494395465
GTEX-148VJ,31.98248476002404
GTEX-14A6H,24.868962178957574
GTEX-14ABY,34.19240953221536
GTEX-14E7W,40.007471739287794
GTEX-N7MS,22.64361425940726
GTEX-NL3G,30.53847587106391
GTEX-NPJ8,11.17278110655594
GTEX-O5YT,26.718478053238726
GTEX-O5YV,3.9622390639542613
GTEX-O5YW,18.12407082038113
GTEX-OHPJ,19.64702302464753
GTEX-OHPL,10.933633679755628
GTEX-OHPM,7.663667019436223
GTEX-OIZG,24.96675346676014
GTEX-OIZH,9.17111202297907
GTEX-OIZI,17.57075471698113
GTEX-OOBJ,32.93240812130557
GTEX-OOBK,14.45349577044632
GTEX-OXRK,14.457294207117197
GTEX-OXRL,7.926134204726802
GTEX-OXRN,36.7292937034031
GTEX-OXRO,35.48208451016227
GTEX-OXRP,7.897692051998455
GTEX-P4PP,15.746317116337108
GTEX-P4PQ,11.999777833319447
GTEX-P4QR,4.360900514690334
GTEX-P4QS,10.803050955598737
GTEX-P4QT,12.442588726513568
GTEX-P78B,19.34227607096495
GTEX-PLZ4,3.6482846804690263
GTEX-PLZ5,12.956104473285885
GTEX-PLZ6,18.12407082038113
GTEX-POMQ,20.314269208549973
GTEX-POYW,19.740915356710236
GTEX-PVOW,37.10176630750972
GTEX-PW2O,12.232578355145602
GTEX-PWOO,18.592463189418517
GTEX-PX3G,13.5708016626095
GTEX-Q2AH,10.313346526051266
GTEX-Q2AI,13.092441495561733
GTEX-Q734,10.873996527166115
GTEX-QDT8,9.355790856017514
GTEX-QDVJ,14.153305892173512
GTEX-QDVN,10.995355297998872
GTEX-QEG4,17.254690033196944
GTEX-QEL4,32.028251189927836
GTEX-QESD,21.114965798067132
GTEX-QMR6,94.75491023692948
GTEX-QMRM,19.342276070964953
GTEX-QXCU,30.26938872926623
GTEX-R55G,8.752692383003719
GTEX-RM2N,14.26915322580645
GTEX-RN64,19.56774605080485
GTEX-RNOR,31.726280010158035
GTEX-RTLS,14.620762544950392
GTEX-RU1J,9.234174413457282
GTEX-RU72,33.18825366752861
GTEX-RWS6,27.904893738294923
GTEX-RWSA,17.47630025147954
GTEX-S32W,14.699694524016117
GTEX-S33H,14.79024084426101
GTEX-S4Q7,19.876678623306553
GTEX-S4Z8,10.478379444606439
GTEX-SE5C,46.7884670282615
GTEX-SIU7,9.018137800425622
GTEX-SN8G,23.652621565107008
GTEX-SNOS,5.306157284237489
GTEX-SUCS,24.227642276422763
GTEX-T2IS,13.871008849282049
GTEX-T5JC,18.20313706767023
GTEX-T6MN,25.406270661516512
GTEX-T6MO,8.471597663720475
GTEX-T8EM,36.260558282777865
GTEX-TML8,14.535450891637728
GTEX-TMMY,46.90732467843972
GTEX-U3ZH,32.705637707948235
GTEX-U3ZM,25.649745979762358
GTEX-U3ZN,24.79701447375057
GTEX-U412,27.1685334722584
GTEX-U8XE,8.600312697887889
GTEX-UJHI,28.071728521166722
GTEX-UJMC,9.50898063088439
GTEX-UPIC,17.98250025143317
GTEX-UPJH,19.60637850189452
GTEX-UPK5,40.7968808183471
GTEX-V1D1,12.92625959292626
GTEX-VJYA,27.369885889229057
GTEX-VUSG,7.960303712218103
GTEX-WFG7,8.752692383003719
GTEX-WFON,10.123391851316105
GTEX-WH7G,8.096033486949347
GTEX-WHPG,16.19717364755143
GTEX-WHSB,9.94694494220161
GTEX-WK11,31.198324922151826
GTEX-WOFM,14.955744137238803
GTEX-WVJS,8.217127550618452
GTEX-WWYW,20.86399523312975
GTEX-WY7C,19.81228001564333
GTEX-WYBS,7.3296840166207895
GTEX-WYJK,18.670008055132907
GTEX-WYVS,15.814195063568413
GTEX-WZTO,45.308082155241394
GTEX-X261,13.9482694502507
GTEX-X3Y1,16.29385006376756
GTEX-X4EO,18.660516750086185
GTEX-X4EP,8.157232015766997
GTEX-X4LF,29.289236817601815
GTEX-X4XX,6.855083976200279
GTEX-X4XY,25.86057275094012
GTEX-X585,8.318932284050728
GTEX-X5EB,21.977277257325095
GTEX-XBEC,37.20423288811383
GTEX-XBED,31.88912668998277
GTEX-XMD2,62.53107334537926
GTEX-XOT4,62.21672680098918
GTEX-XPVG,12.94638978190981
GTEX-XQ3S,19.34227607096495
GTEX-XQ8I,43.16206738832139
GTEX-XV7Q,17.950143638217032
GTEX-XXEK,19.987122390942748
GTEX-XYKS,33.71694575547941
GTEX-Y111,17.001085353296418
GTEX-Y3IK,29.267857142857146
GTEX-Y5LM,12.578557358596756
GTEX-Y5V5,24.227642276422763
GTEX-Y5V6,6.994457506702821
GTEX-Y8E4,12.536816845520773
GTEX-Y9LG,19.46729422155437
GTEX-YB5E,31.800719556070494
GTEX-YEC3,17.507340917288275
GTEX-YECK,56.12052730696798
GTEX-YF7O,33.9995278936187
GTEX-YFC4,57.54580387384779
GTEX-YFCO,13.263737153030672
GTEX-YJ8O,36.42203399465637
GTEX-ZA64,12.051765974656243
GTEX-ZAB4,8.530301791118019
GTEX-ZAB5,15.374138429155146
GTEX-ZC5H,5.243811832792399
GTEX-ZDTS,59.3107167621151
GTEX-ZDTT,15.547256851007743
GTEX-ZDXO,51.459082755976794
GTEX-ZE7O,41.594029510624964
GTEX-ZEX8,8.75269238300372
GTEX-ZF28,4.964375869260803
GTEX-ZF29,19.11193818543574
GTEX-ZF2S,24.227642276422763
GTEX-ZG7Y,16.96282730287581
GTEX-ZLV1,16.63826764463307
GTEX-ZLWG,7.039739618877632
GTEX-ZPIC,18.18434857081683
GTEX-ZPU1,16.987316517030067
GTEX-ZT9W,21.077707349293096
GTEX-ZT9X,13.783533765032377
GTEX-ZTPG,1.5578341891136367
GTEX-ZTTD,15.489557379957144
GTEX-ZUA1,44.638429752066116
GTEX-ZVT3,25.272149751750085
GTEX-ZVZQ,41.09400137899334
GTEX-ZXG5,6.967625899280576
GTEX-ZY6K,12.169378651755986
GTEX-ZYT6,21.673077544687587
GTEX-ZYVF,25.86057275094012
GTEX-ZYW4,34.28338157797076
GTEX-ZYWO,10.706586826347305
GTEX-ZYY3,24.79701447375057
GTEX-ZZPT,8.61207237801365
GTEX-ZZPU,22.703944496425848
